row_id,butterfly_taxon,host_taxon_name,host_taxon_rank,current_confidence,curated_confidence,curation_action,evidence_basis,source_checked,citation_for_ui,notes_for_web_app,source_refs_current,doi_or_url_current,occurrence_count_in_web_app,use_for_default_download_current,host_plant_family,host_plant_genus,host_plant_species
14,Callithomia hezia,Lycianthes sanctaeclarae,species,medium,high,reaudit_upgrade,Trusted oviposition/egg record is direct host-use evidence.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Costa Rica: [Drummond & Brown, 1987 (Ovip.) (ssp. hezia); Haber, p.c., 1998 (Ovip.) (ssp. hezia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,307,true,Solanaceae,Lycianthes,Lycianthes sanctaeclarae
15,Callithomia hezia,Solanum nr pensile,species,medium,medium,reaudit_upgrade,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: imprecise_but_supported,Beccaloni et al. 2008,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.","Costa Rica: [Drummond & Brown, 1987 (ssp. hezia)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Solanum,Solanum nr pensile
16,Callithomia lenea,Solanum,genus,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Brazil: [southern, Silva et al., 1968 (ssp. xantho); SC, Müller, 1886 (ssp. xantho)]; Neotropics: [Müller, 1878 (ssp. xantho)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
17,Callithomia lenea,Solanum,genus,medium,needs_check,needs_primary_source,"Catalogue row is based only on personal communication, in-press, or broad catalogue aggregation; plausible but not independently checkable from supplied sources.",Beccaloni et al. 2008 catalogue row; embedded source not independently checked.,Beccaloni et al. 2008,Use as unverified clue; retrieve embedded primary source or expert note before showing as medium.  Exact butterfly-host-rank key appears 2 times in current CSV; UI should merge citations or deduplicate display.,"Neotropics: [Lamas, 1985]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Solanum,
18,Callithomia lenea,Solanum flaccidum,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 5: Callithomia lenea xantho on Solanum flaccidum, Martinho Prado, SP.","Brazil: [SP, Brown & Freitas, 1994 (ssp. xantho)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,165,true,Solanaceae,Solanum,Solanum flaccidum
19,Callithomia lenea,Solanum grandiflorum,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [MT, Drummond & Brown, 1987 (ssp. travassosi)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,272,true,Solanaceae,Solanum,Solanum grandiflorum
20,Callithomia lenea,Solanum pensile,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [Ac, Brown, p.c., 1996 (ssp. travassosi); Rd, Drummond & Brown, 1987 (ssp. travassosi)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,112,true,Solanaceae,Solanum,Solanum pensile
21,Ceratinia neso,Solanum,genus,medium,medium,reaudit_upgrade,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Brazil: [Ac, Freitas, p.c., 1997]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
22,Ceratinia neso,Solanum,genus,medium,needs_check,needs_primary_source,"Catalogue row is based only on personal communication, in-press, or broad catalogue aggregation; plausible but not independently checkable from supplied sources.",Beccaloni et al. 2008 catalogue row; embedded source not independently checked.,Beccaloni et al. 2008,Use as unverified clue; retrieve embedded primary source or expert note before showing as medium.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Neotropics: [Lamas, 1985]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Solanum,
23,Ceratinia neso,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Brazil: [Pa, Drummond & Brown, 1987]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
24,Ceratinia neso,Solanum insidiosum,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [Rd, Drummond & Brown, 1987]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,143,true,Solanaceae,Solanum,Solanum insidiosum
25,Ceratinia neso,Solanum stramoniifolium,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [Rd, Drummond & Brown, 1987]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,16189,true,Solanaceae,Solanum,Solanum stramoniifolium
26,Ceratinia tutia,Solanum,genus,medium,medium,reaudit_upgrade,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Brazil: [Ac, Freitas, p.c., 1997]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
27,Ceratinia tutia,Solanum,genus,medium,medium,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.  Exact butterfly-host-rank key appears 3 times in current CSV; UI should merge citations or deduplicate display.,"Costa Rica: [DeVries, 1987]; Neotropics: [Lamas, 1985]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
28,Ceratinia tutia,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Venezuela: [Drummond & Brown, 1987 (ssp. tutia)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Solanaceae,Solanum,
29,Ceratinia tutia,Solanum aphyodendron,species,medium,medium,reaudit_upgrade,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Costa Rica: [Haber, p.c., 1998 (ssp. dorilla)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1519,true,Solanaceae,Solanum,Solanum aphyodendron
30,Ceratinia tutia,Solanum aphyodendron,species,high,high,keep,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Fredonia, Antioquia, Colombia: Finca Mango Chiquito, 1350 m; marked XX = new host-plant record for the Lepidoptera species in Colombia.",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1519,true,Solanaceae,Solanum,Solanum aphyodendron
31,Ceratinia tutia,Solanum nudum,species,medium,high,reaudit_upgrade,Trusted oviposition/egg record is direct host-use evidence.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Trusted oviposition/egg record is direct host-use evidence.,"Ecuador: [Drummond & Brown, 1987 (ssp. poecila)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1768,true,Solanaceae,Solanum,Solanum nudum
32,Ceratinia tutia,Solanum nudum,species,medium,high,reaudit_upgrade,"Genus-level association; useful context, not exact species-level host evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Costa Rica: [DeVries, 1986 (ssp. dorilla); Drummond & Brown, 1987 (ssp. dorilla); Knapp, In press (ssp. dorilla); Mallet, p.c., 1981 (RC: 247) (ssp. dorilla)]; Ecuador: [Beccaloni, 1995 (ssp. poecila); Mallet, p.c., 1984 (RC: 84-4) (ssp. radiosa); Knapp, In press (ssp. radiosa)]; Peru: [Knapp, In press (Ovip.?); Mallet, p.c., 1984 (Ovip.; RC: 84-51)]; Venezuela: [Knapp, In press; Mallet, p.c., 1984 (RC: 84-88)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,1768,true,Solanaceae,Solanum,Solanum nudum
33,Dircenna adina,Solanum,genus,medium,medium,taxon_level_reaudit,"Genus-level host evidence is credible, but the map overlay includes all occurrences in the genus; keep below high unless a species-level host is resolved.",Beccaloni et al. 2008 catalogue row; embedded source not independently checked. | Codex source-PDF re-audit 2026-05-21: oviposition_trusted | Codex taxon-level policy adjustment 2026-05-21: taxon_level_genus_overlay_too_broad_for_high,Beccaloni et al. 2008,"Genus-level association; useful context, not exact species-level host evidence.","Ecuador: [Beccaloni, p.c., 1996 (Ovip.) (ssp. lorica)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Solanaceae,Solanum,
34,Dircenna adina,Solanum nr asperum,species,medium,medium,reaudit_upgrade,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: imprecise_but_supported,Beccaloni et al. 2008,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.","Ecuador: [Drummond & Brown, 1987 (ssp. lorica)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,1019,true,Solanaceae,Solanum,Solanum nr asperum
35,Dircenna adina,Solanum nr hazenii,species,medium,medium,reaudit_upgrade,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Venezuela: [Drummond & Brown, 1987 (ssp. marica)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,625,true,Solanaceae,Solanum,Solanum nr hazenii
36,Dircenna adina,Solanum rudepannum,species,medium,medium,reaudit_upgrade,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.",Beccaloni et al. 2008 catalogue row; embedded source not independently checked. | Codex source-PDF re-audit 2026-05-21: trusted_expert_communication,Beccaloni et al. 2008,"Trusted expert communication is acceptable as provisional host evidence, but remains below checked published life-history evidence.","Ecuador: [Beccaloni, p.c., 1996 (ssp. suna)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,1012,true,Solanaceae,Solanum,Solanum rudepannum
37,Dircenna dero,Solanaceae,family,medium,low,downgrade,Family-level host association is too broad for a precise confidence label or GBIF occurrence overlay.,Beccaloni et al. 2008 catalogue row; family-level fallback.,Beccaloni et al. 2008,"Use only as fallback text, not as a host taxon overlay or species-level ecological record.","Argentina: [Hayward, 1969; Hayward, 1960]; Brazil: [SC, Lima, 1947]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Solanaceae,,
